#Lambda	Flux(Jy)
9.216	0.02939
9.217	0.02948
9.218	0.02956
9.219	0.02961
9.220	0.02966
9.221	0.02971
9.222	0.02978
9.223	0.02987
9.224	0.02998
9.225	0.03014
9.226	0.03034
9.227	0.03055
9.228	0.03078
9.229	0.03103
9.230	0.03132
9.231	0.03163
9.232	0.03198
9.233	0.03238
9.234	0.03282
9.235	0.03330
9.236	0.03383
9.237	0.03440
9.238	0.03499
9.239	0.03562
9.240	0.03627
9.241	0.03694
9.242	0.03762
9.243	0.03832
9.244	0.03906
9.245	0.03982
9.246	0.04061
9.247	0.04141
9.248	0.04221
9.249	0.04302
9.250	0.04382
9.251	0.04461
9.252	0.04540
9.253	0.04619
9.254	0.04699
9.255	0.04778
9.256	0.04858
9.257	0.04937
9.258	0.05015
9.259	0.05092
9.260	0.05168
9.261	0.05243
9.262	0.05318
9.263	0.05392
9.264	0.05465
9.265	0.05538
9.266	0.05611
9.267	0.05683
9.268	0.05755
9.269	0.05826
9.270	0.05897
9.271	0.05968
9.272	0.06038
9.273	0.06108
9.274	0.06177
9.275	0.06247
9.276	0.06316
9.277	0.06386
9.278	0.06455
9.279	0.06525
9.280	0.06594
9.281	0.06664
9.282	0.06733
9.283	0.06802
9.284	0.06871
9.285	0.06939
9.286	0.07008
9.287	0.07076
9.288	0.07144
9.289	0.07211
9.290	0.07279
9.291	0.07346
9.292	0.07414
9.293	0.07481
9.294	0.07548
9.295	0.07615
9.296	0.07682
9.297	0.07748
9.298	0.07815
9.299	0.07881
9.300	0.07948
9.301	0.08016
9.302	0.08084
9.303	0.08153
9.304	0.08222
9.305	0.08291
9.306	0.08361
9.307	0.08432
9.308	0.08503
9.309	0.08574
9.310	0.08647
9.311	0.08720
9.312	0.08794
9.313	0.08869
9.314	0.08945
9.315	0.09021
9.316	0.09098
9.317	0.09176
9.318	0.09253
9.319	0.09332
9.320	0.09411
9.321	0.09490
9.322	0.09569
9.323	0.09649
9.324	0.09730
9.325	0.09811
9.326	0.09892
9.327	0.09975
9.328	0.10058
9.329	0.10141
9.330	0.10224
9.331	0.10307
9.332	0.10390
9.333	0.10475
9.334	0.10561
9.335	0.10649
9.336	0.10740
9.337	0.10834
9.338	0.10931
9.339	0.11028
9.340	0.11127
9.341	0.11228
9.342	0.11332
9.343	0.11440
9.344	0.11553
9.345	0.11672
9.346	0.11797
9.347	0.11927
9.348	0.12060
9.349	0.12198
9.350	0.12341
9.351	0.12489
9.352	0.12643
9.353	0.12803
9.354	0.12970
9.355	0.13144
9.356	0.13326
9.357	0.13513
9.358	0.13707
9.359	0.13907
9.360	0.14113
9.361	0.14323
9.362	0.14538
9.363	0.14757
