FILENAME:	2bb015_9.txt
TITLE:	AFC Filter 01 ZnS Test Piece Sample 2BB @ 15K, 2.6°i, In f/8 (CDCR 04791/04797, SMCR 01930)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 01 (N-Band) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	20-Aug-2001
AUTHOR:	Richard Sherwood
CHANNEL:	01
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
2.414	-0.08572
2.415	0.07300
2.416	0.12078
2.417	-0.08528
2.418	-0.04328
2.419	-0.04746
2.420	-0.09836
2.421	-0.06276
2.422	0.04830
2.423	0.03686
2.424	0.00406
2.425	-0.03058
2.426	0.04650
2.427	0.04972
2.428	-0.00639
2.429	0.07647
2.430	0.07602
2.431	0.07009
2.432	0.15391
2.433	0.07119
2.434	0.07581
2.435	0.12890
2.436	0.16190
2.437	0.17442
2.438	0.02494
2.439	-0.02035
2.440	-0.04146
2.441	-0.01887
2.442	0.04967
2.443	-0.01061
2.444	-0.05489
2.445	0.00950
2.446	0.02658
2.447	0.06388
2.448	0.03674
2.449	-0.04629
2.450	-0.01601
2.451	0.02227
2.452	-0.00354
2.453	0.13118
2.454	0.16035
2.455	-0.00720
2.456	-0.02691
2.457	-0.08776
2.458	-0.02208
2.459	0.09745
2.460	0.14779
2.461	0.06553
2.462	0.17584
2.463	0.13140
2.464	0.25411
2.465	0.25522
2.466	0.05353
2.467	-0.07136
2.468	0.05492
2.469	0.01313
2.470	0.13656
2.471	0.11227
2.472	-0.01454
2.473	-0.00278
2.474	0.00541
2.475	0.07280
2.476	0.30772
2.477	0.26134
2.478	0.40292
2.479	0.08720
2.480	0.15814
2.481	0.05740
2.482	0.08552
2.483	0.08846
2.484	0.02790
2.485	-0.02639
2.486	0.16228
2.487	0.13961
2.488	0.17150
2.489	-0.03123
2.490	-0.03658
2.491	0.00213
2.492	0.09134
2.493	-0.03034
2.494	-0.01249
2.495	0.09716
2.496	-0.04798
2.497	0.02868
2.498	0.22485
2.499	0.05420
2.500	-0.11625
2.501	-0.06001
2.502	-0.03227
2.503	0.12219
2.504	0.23649
2.505	0.07068
2.506	0.04471
2.507	0.26918
2.508	-0.19143
2.509	-0.28933
2.510	0.28200
2.511	-0.04030
2.512	-0.11714
2.513	-0.07635
2.514	0.08777
2.515	0.08808
2.516	0.10537
2.517	0.03980
2.518	0.11636
2.519	0.11567
2.520	-0.05509
2.521	-0.10246
2.522	-0.05524
2.523	0.03821
2.524	0.10502
2.525	0.19618
2.526	0.02239
2.527	-0.10330
2.528	-0.00206
2.529	0.03561
2.530	0.14484
2.531	0.03726
2.532	0.08705
2.533	0.10045
2.534	0.11893
2.535	0.22117
2.536	-0.03743
2.537	-0.02360
2.538	0.07095
2.539	-0.17577
2.540	-0.02616
2.541	0.11770
2.542	-0.00934
2.543	0.11439
2.544	0.20393
2.545	0.19398
2.546	0.07231
2.547	0.12804
2.548	0.30670
2.549	0.17146
2.550	-0.00518
2.551	0.00539
2.552	0.03719
2.553	0.03055
2.554	0.03373
2.555	0.01251
2.556	-0.00200
2.557	0.05470
2.558	0.08376
2.559	0.06849
2.560	0.12061
2.561	0.00209
2.562	0.07046
2.563	0.15115
2.564	-0.05346
2.565	-0.24101
2.566	-0.06069
2.567	0.02246
2.568	0.05497
2.569	0.14685
2.570	0.12404
2.571	0.05082
2.572	0.06780
2.573	0.16507
2.574	0.03809
2.575	-0.02074
2.576	0.05888
2.577	0.37521
2.578	0.14372
2.579	0.00497
2.580	0.06581
2.581	0.10186
2.582	-0.23272
2.583	-0.24269
2.584	-0.08211
2.585	-0.06042
2.586	-0.22677
2.587	0.11766
2.588	0.59529
2.589	0.20831
2.590	0.10344
2.591	0.04633
2.592	-0.00066
2.593	0.11098
2.594	0.36252
2.595	0.11426
2.596	-0.02403
2.597	0.00663
2.598	0.07654
2.599	0.11830
2.600	0.06195
2.601	-0.09160
2.602	-0.12587
2.603	-0.02005
2.604	-0.02803
2.605	0.08865
2.606	0.23385
2.607	0.07000
2.608	0.03597
2.609	0.01967
2.610	0.13282
2.611	0.11600
2.612	0.09402
2.613	0.04599
2.614	0.10831
2.615	0.12754
2.616	0.15119
2.617	0.38728
2.618	0.31318
2.619	0.09854
2.620	0.11181
2.621	0.08588
2.622	-0.10569
2.623	-0.08078
2.624	0.01705
2.625	0.04894
2.626	0.05413
2.627	-0.04329
2.628	-0.11909
2.629	-0.00291
2.630	0.05998
2.631	-0.11735
2.632	-0.08361
2.633	0.11394
2.634	0.16299
2.635	0.19330
2.636	0.06202
2.637	-0.08871
2.638	-0.02544
2.639	0.04310
2.640	0.10670
2.641	0.18343
2.642	0.18503
2.643	0.13770
2.644	0.04867
2.645	0.05891
2.646	0.07387
2.647	0.03594
2.648	0.02650
2.649	0.03587
2.650	0.06182
2.651	0.07735
2.652	-0.00095
2.653	-0.02869
2.654	0.02912
2.655	0.02503
2.656	0.07860
2.657	0.06571
2.658	0.04322
2.659	0.00007
2.660	0.00080
2.661	-0.01740
2.662	-0.05439
2.663	-0.02788
2.664	-0.00321
2.665	0.14793
2.666	0.08465
2.667	0.59878
2.668	0.50902
2.669	-0.03012
2.670	-0.37380
2.671	0.23902
2.672	0.08528
2.673	0.03946
2.674	0.18080
2.675	0.10703
2.676	0.10463
2.677	0.05446
2.678	0.10839
2.679	0.06259
2.680	0.00474
