#Lambda	Flux(Jy)
2.770	0.02564
2.771	0.02810
2.772	0.02169
2.773	0.00679
2.774	-0.00999
2.775	-0.02076
2.776	-0.02156
2.777	-0.01472
2.778	-0.00541
2.779	0.00417
2.780	0.01458
2.781	0.02379
2.782	0.02685
2.783	0.02251
2.784	0.01523
2.785	0.00966
2.786	0.00915
2.787	0.01493
2.788	0.02291
2.789	0.02590
2.790	0.02067
2.791	0.01091
2.792	0.00059
2.793	-0.00805
2.794	-0.01178
2.795	-0.00904
2.796	-0.00278
2.797	0.00318
2.798	0.00930
2.799	0.01674
2.800	0.02117
2.801	0.01585
2.802	0.00258
2.803	-0.00797
2.804	-0.00741
2.805	0.00177
2.806	0.01111
2.807	0.01460
2.808	0.01106
2.809	0.00434
2.810	0.00007
2.811	0.00168
2.812	0.00717
2.813	0.01239
2.814	0.01542
2.815	0.01596
2.816	0.01359
2.817	0.00805
2.818	0.00105
2.819	-0.00316
2.820	-0.00213
2.821	0.00211
2.822	0.00713
2.823	0.01361
2.824	0.02170
2.825	0.02659
2.826	0.02281
2.827	0.01177
2.828	0.00103
2.829	-0.00516
2.830	-0.00814
2.831	-0.00959
2.832	-0.00895
2.833	-0.00718
2.834	-0.00724
2.835	-0.00786
2.836	-0.00256
2.837	0.01063
2.838	0.02354
2.839	0.02480
2.840	0.01286
2.841	-0.00424
2.842	-0.01895
2.843	-0.02787
2.844	-0.02953
2.845	-0.02380
2.846	-0.01417
2.847	-0.00641
2.848	-0.00295
2.849	-0.00103
2.850	0.00258
2.851	0.00768
2.852	0.01138
2.853	0.01215
2.854	0.01131
2.855	0.01119
2.856	0.01405
2.857	0.02230
2.858	0.03667
2.859	0.05248
2.860	0.05971
2.861	0.05273
2.862	0.03656
2.863	0.02063
2.864	0.00942
2.865	0.00259
2.866	-0.00022
2.867	0.00212
2.868	0.00786
2.869	0.01123
2.870	0.00781
2.871	-0.00059
2.872	-0.00859
2.873	-0.01288
2.874	-0.01406
2.875	-0.01358
2.876	-0.01101
2.877	-0.00621
2.878	-0.00118
2.879	0.00061
2.880	-0.00280
2.881	-0.01022
2.882	-0.01674
2.883	-0.01684
2.884	-0.00763
2.885	0.00740
2.886	0.02135
2.887	0.02928
2.888	0.03029
2.889	0.02536
2.890	0.01610
2.891	0.00535
2.892	-0.00234
2.893	-0.00381
2.894	0.00037
2.895	0.00715
2.896	0.01370
2.897	0.01794
2.898	0.01822
2.899	0.01336
2.900	0.00549
2.901	0.00013
2.902	0.00113
2.903	0.00654
2.904	0.01023
2.905	0.00824
2.906	0.00176
2.907	-0.00477
2.908	-0.00807
2.909	-0.00708
2.910	-0.00215
2.911	0.00491
2.912	0.01176
